ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absent
00001,26,7,3,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,1
00002,0,7,3,1,118,13,18,50,"239,554",97,1,1,1,1,0,0,98,178,31,0
00003,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
00004,7,7,5,1,279,5,14,39,"239,554",97,0,1,2,1,1,0,68,168,24,1
00005,23,7,5,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,1
00006,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
00007,22,7,6,1,361,52,3,28,"239,554",97,0,1,1,1,0,4,80,172,27,1
00008,23,7,6,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,1
00009,19,7,2,1,155,12,14,34,"239,554",97,0,1,2,1,0,0,95,196,25,1
00010,22,7,2,1,235,11,14,37,"239,554",97,0,3,1,0,0,1,88,172,29,1
00011,1,7,2,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,1
00012,1,7,3,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,1
00013,11,7,4,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,1
00014,11,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,0
00015,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
00016,14,7,6,1,246,25,16,41,"239,554",97,0,1,0,1,0,0,67,170,23,1
00017,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
00018,21,7,2,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
00019,11,7,5,1,189,29,13,33,"239,554",97,0,1,2,0,0,2,69,167,25,1
00020,23,8,4,1,248,25,14,47,"205,917",92,0,1,2,0,0,1,86,165,32,1
00021,10,8,4,1,330,16,4,28,"205,917",92,0,2,0,0,0,0,84,182,25,1
00022,11,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,0
00023,13,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1
00024,28,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,1
00025,18,8,2,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
00026,25,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1
00027,23,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,0
00028,28,8,4,1,157,27,6,29,"205,917",92,0,1,0,1,1,0,75,185,22,1
00029,18,8,4,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
00030,23,8,6,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
00031,18,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
00032,18,8,5,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,1
00033,23,8,5,1,235,11,14,37,"205,917",92,0,3,1,0,0,1,88,172,29,1
00034,18,8,2,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,1
00035,23,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
00036,23,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,0
00037,24,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
00038,11,8,5,1,291,50,12,32,"205,917",92,0,1,0,1,0,0,65,169,23,1
00039,28,8,6,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,1
00040,23,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,1
00041,23,9,3,1,184,42,7,27,"241,476",92,0,1,0,0,0,0,58,167,21,1
00042,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,1
00043,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,1
00044,19,9,3,1,235,20,13,43,"241,476",92,0,1,1,1,0,0,106,167,38,1
00045,23,9,4,1,155,12,14,34,"241,476",92,0,1,2,1,0,0,95,196,25,1
00046,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,1
00047,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,1
00048,23,9,5,1,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,1
00049,22,9,6,1,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,1
00050,14,9,2,4,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,1
00051,0,9,2,4,260,50,11,36,"241,476",92,1,1,4,1,0,0,65,168,23,0
00052,0,9,2,4,225,26,9,28,"241,476",92,1,1,1,0,0,2,69,169,24,0
00053,23,9,3,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,1
00054,23,9,3,4,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,1
00055,0,9,3,4,289,36,13,33,"241,476",92,1,1,2,1,0,1,90,172,30,0
00056,0,9,3,4,118,13,18,50,"241,476",92,1,1,1,1,0,0,98,178,31,0
00057,18,9,4,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,1
00058,23,9,4,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,1
00059,0,9,4,4,369,17,12,31,"241,476",92,1,1,3,1,0,0,70,169,25,0
00060,23,9,6,4,248,25,14,47,"241,476",92,0,1,2,0,0,1,86,165,32,0
00061,23,9,6,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,1
00062,23,9,6,4,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,1
00063,23,10,3,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,1
00064,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,1
00065,0,10,4,4,118,13,18,50,"253,465",93,1,1,1,1,0,0,98,178,31,0
00066,23,10,5,4,179,26,9,30,"253,465",93,0,3,0,0,0,0,56,171,19,0
00067,23,10,6,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,1
00068,23,10,6,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,1
00069,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,1
00070,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,1
00071,23,10,4,4,248,25,14,47,"253,465",93,0,1,2,0,0,1,86,165,32,1
00072,23,10,5,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,1
00073,23,10,4,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,1
00074,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,1
00075,19,10,5,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,1
00076,14,10,3,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,1
00077,28,10,3,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,1
00078,26,10,4,4,289,36,13,33,"253,465",93,0,1,2,1,0,1,90,172,30,1
00079,23,10,6,4,361,52,3,28,"253,465",93,0,1,1,1,0,4,80,172,27,0
00080,28,10,6,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,1
00081,23,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,0
00082,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,0
00083,13,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,1
00084,21,11,5,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,1
00085,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,1
00086,10,11,2,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,1
00087,22,11,2,4,189,29,13,33,"306,345",93,0,1,2,0,0,2,69,167,25,1
00088,14,11,2,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,1
00089,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,0
00090,6,11,6,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,1
00091,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
00092,21,11,4,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,1
00093,13,11,6,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
00094,28,11,6,4,260,50,11,36,"306,345",93,0,1,4,1,0,0,65,168,23,1
00095,28,11,2,4,248,25,14,47,"306,345",93,0,1,2,0,0,1,86,165,32,0
00096,28,11,3,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
00097,7,11,4,4,289,36,13,33,"306,345",93,0,1,2,1,0,1,90,172,30,1
00098,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,1
00099,23,12,3,4,248,25,14,47,"261,306",97,0,1,2,0,0,1,86,165,32,0
00100,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,1
00101,23,12,4,4,118,13,18,50,"261,306",97,0,1,1,1,0,0,98,178,31,1
00102,26,12,4,4,235,11,14,37,"261,306",97,0,3,1,0,0,1,88,172,29,1
00103,23,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,1
00104,26,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,1
00105,19,12,3,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,1
00106,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,1
00107,28,12,5,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,1
00108,28,12,6,4,260,50,11,36,"261,306",97,0,1,4,1,0,0,65,168,23,1
00109,23,12,3,4,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,1
00110,22,12,4,4,361,52,3,28,"261,306",97,0,1,1,1,0,4,80,172,27,1
00111,27,12,6,4,118,10,10,37,"261,306",97,0,1,0,0,0,0,83,172,28,1
00112,19,12,6,2,246,25,16,41,"261,306",97,0,1,0,1,0,0,67,170,23,1
00113,23,12,6,2,225,26,9,28,"261,306",97,0,1,1,0,0,2,69,169,24,1
00114,23,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,0
00115,19,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0
00116,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0
00117,18,1,3,2,155,12,14,34,"308,593",95,0,1,2,1,0,0,95,196,25,1
00118,27,1,4,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
00119,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,1
00120,28,1,5,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
00121,27,1,6,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,0
00122,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00123,27,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,1
00124,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00125,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00126,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00127,27,1,6,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00128,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00129,27,1,3,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00130,18,1,3,2,179,26,9,30,"308,593",95,0,3,0,0,0,0,56,171,19,1
00131,18,1,3,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,1
00132,27,1,4,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00133,23,1,5,2,184,42,7,27,"308,593",95,0,1,0,0,0,0,58,167,21,1
00134,27,1,5,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,1
00135,27,1,2,2,118,10,10,37,"308,593",95,0,1,0,0,0,0,83,172,28,0
00136,23,1,3,2,225,26,9,28,"308,593",95,0,1,1,0,0,2,69,169,24,0
00137,22,1,5,2,289,36,13,33,"308,593",95,0,1,2,1,0,1,90,172,30,1
00138,23,2,6,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,0
00139,1,2,4,2,246,25,16,41,"302,585",99,0,1,0,1,0,0,67,170,23,1
00140,11,2,4,2,179,51,18,38,"302,585",99,0,1,0,1,0,0,89,170,31,1
00141,28,2,5,2,155,12,14,34,"302,585",99,0,1,2,1,0,0,95,196,25,1
00142,23,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,1
00143,28,2,6,2,260,50,11,36,"302,585",99,0,1,4,1,0,0,65,168,23,1
00144,22,2,6,2,289,36,13,33,"302,585",99,0,1,2,1,0,1,90,172,30,1
00145,11,2,2,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,1
00146,1,2,3,2,388,15,9,50,"302,585",99,0,1,0,0,0,0,76,178,24,1
00147,28,2,2,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1
00148,23,2,3,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1
00149,23,2,3,2,179,26,9,30,"302,585",99,0,3,0,0,0,0,56,171,19,0
00150,23,2,3,2,184,42,7,27,"302,585",99,0,1,0,0,0,0,58,167,21,1
00151,25,2,5,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,1
00152,18,2,2,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,1
00153,23,2,3,2,330,16,4,28,"302,585",99,0,2,0,0,0,0,84,182,25,0
00154,23,2,4,2,225,26,9,28,"302,585",99,0,1,1,0,0,2,69,169,24,0
00155,19,2,5,2,189,29,13,33,"302,585",99,0,1,2,0,0,2,69,167,25,1
00156,28,3,3,2,291,50,12,32,"343,253",95,0,1,0,1,0,0,65,169,23,1
00157,19,3,3,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,1
00158,19,3,3,2,157,27,6,29,"343,253",95,0,1,0,1,1,0,75,185,22,1
00159,17,3,3,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,1
00160,22,3,4,2,291,31,12,40,"343,253",95,0,1,1,1,0,1,73,171,25,1
00161,13,3,4,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,1
00162,13,3,5,2,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,1
00163,14,3,6,2,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,1
00164,13,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,1
00165,11,3,2,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,1
00166,1,3,2,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,1
